                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1427,                 1.6231,                 1.4043,                0.76208,                 0.4695,                0.55381,                0.32198,                 1.5796,                 2.2173,                  2.505,             0.00066452,             0.00066452,             0.00066452
                      2,                 1.2168,                 1.1616,                 1.4474,                 0.7492,                0.61303,                0.67656,                0.40499,                 1.5611,                  1.364,                 2.2176,               0.001318,               0.001318,               0.001318
                      3,                 1.2198,                 1.1002,                 1.4535,                0.85307,                0.69973,                0.72714,                0.47124,                 1.3968,                 1.3154,                 1.7973,              0.0019583,              0.0019583,              0.0019583
                      4,                 1.1917,                 1.0321,                 1.4264,                0.88827,                0.72507,                0.78078,                 0.5207,                 1.3163,                0.89414,                 1.7379,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1358,                 0.9599,                 1.3905,                0.80885,                0.72964,                0.76682,                0.51278,                 1.3086,                0.95419,                 1.6746,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1099,                0.93219,                 1.3715,                0.80839,                0.76221,                0.76268,                 0.5103,                 1.2659,                0.94328,                 1.6686,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.0771,                 0.8801,                 1.3473,                0.90149,                0.71541,                0.76512,                0.51617,                 1.3066,                 0.8748,                 1.7024,               0.001901,               0.001901,               0.001901
                      8,                 1.0726,                0.87715,                 1.3535,                0.89133,                0.76873,                0.79164,                0.53198,                 1.2801,                0.87382,                 1.5793,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.0452,                0.83194,                 1.3272,                0.87124,                0.76873,                0.80477,                0.54854,                   1.22,                0.80056,                 1.5998,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0445,                0.83753,                 1.3276,                0.88056,                0.76873,                0.80415,                0.56685,                 1.2471,                0.80056,                  1.558,              0.0018416,              0.0018416,              0.0018416
                     11,                  1.025,                0.82629,                  1.316,                0.89126,                0.74593,                0.78979,                0.55385,                 1.2328,                0.81272,                 1.5846,              0.0018218,              0.0018218,              0.0018218
                     12,                   1.01,                 0.8027,                 1.2938,                0.91362,                0.76873,                0.81677,                0.56428,                 1.2093,                0.80351,                 1.5806,               0.001802,               0.001802,               0.001802
                     13,                 1.0052,                0.78557,                 1.2963,                0.87862,                0.75448,                0.79859,                0.53958,                 1.2409,                0.86022,                   1.57,              0.0017822,              0.0017822,              0.0017822
                     14,                0.97632,                0.77071,                 1.2867,                0.87749,                0.77524,                0.80652,                0.54851,                 1.2163,                0.82459,                 1.5882,              0.0017624,              0.0017624,              0.0017624
                     15,                0.98017,                0.76139,                 1.2861,                0.90472,                0.77326,                0.80178,                0.58015,                 1.1467,                0.78059,                 1.5112,              0.0017426,              0.0017426,              0.0017426
                     16,                0.96539,                0.74782,                 1.2746,                0.90662,                0.75905,                0.81135,                0.56658,                 1.1902,                0.75924,                 1.5235,              0.0017228,              0.0017228,              0.0017228
                     17,                 0.9664,                0.75728,                 1.2715,                0.89329,                0.79079,                0.81564,                0.57981,                 1.1673,                0.77556,                  1.539,               0.001703,               0.001703,               0.001703
                     18,                0.95719,                0.73798,                 1.2596,                0.90253,                0.75244,                0.80428,                0.57456,                 1.1392,                0.74988,                 1.5248,              0.0016832,              0.0016832,              0.0016832
                     19,                0.95153,                0.72937,                 1.2617,                0.88133,                0.79835,                 0.8255,                0.59547,                 1.1265,                0.68844,                 1.4736,              0.0016634,              0.0016634,              0.0016634
                     20,                0.92542,                 0.7119,                 1.2531,                0.88289,                0.78176,                0.81931,                0.57523,                 1.1834,                0.72551,                 1.5336,              0.0016436,              0.0016436,              0.0016436
                     21,                0.93215,                0.72165,                 1.2497,                0.88767,                0.79799,                0.83462,                0.59253,                 1.1487,                0.69491,                 1.4864,              0.0016238,              0.0016238,              0.0016238
                     22,                0.91953,                 0.7037,                 1.2384,                0.87526,                0.79153,                0.82064,                0.58196,                 1.1587,                0.70339,                 1.5461,               0.001604,               0.001604,               0.001604
                     23,                0.91257,                0.70048,                 1.2394,                0.90506,                 0.7785,                0.81237,                 0.5846,                 1.1413,                0.72817,                 1.4861,              0.0015842,              0.0015842,              0.0015842
                     24,                0.90889,                 0.6924,                 1.2353,                0.90193,                0.79805,                0.82969,                0.58495,                 1.1308,                0.70345,                 1.4924,              0.0015644,              0.0015644,              0.0015644
                     25,                0.90548,                0.67944,                 1.2325,                0.90509,                0.77653,                0.82347,                0.58672,                 1.1786,                0.72344,                 1.5019,              0.0015446,              0.0015446,              0.0015446
                     26,                0.89379,                0.68438,                 1.2271,                0.86692,                0.79805,                0.83871,                0.60153,                 1.1328,                0.69896,                 1.4538,              0.0015248,              0.0015248,              0.0015248
                     27,                0.88095,                 0.6715,                 1.2223,                0.89885,                 0.7785,                0.83261,                0.60185,                  1.108,                0.67421,                 1.4755,               0.001505,               0.001505,               0.001505
                     28,                0.87915,                0.65105,                 1.2147,                0.90022,                0.79349,                0.83053,                0.59831,                 1.1253,                0.67555,                 1.4758,              0.0014852,              0.0014852,              0.0014852
